join_col,G16PRERTru_y,G16PREDCli_y,G16PREIDeL_y,G16PRELJoh_y
5-Dec,0,0,0,0
063 Summit 1,0,0,0,0
16-5,0,2,0,0
19-6,2,1,0,0
196 Courthouse 2,3,29,0,6
216 Apison 3,4,1,0,0
177 Concord 5,5,1,0,0
14-4,6,27,0,1
132 Eastside 2,6,40,0,0
214 Alton Park 2,9,40,0,5
143 Ooltewah 3,10,4,0,0
20-1,11,67,0,0
18-1,12,113,0,8
Memphis 12,12,530,0,3
Memphis 50-1,12,756,3,4
5-1 Whitehall,13,738,2,2
218 Harrison 6,14,1,0,0
106 Mountain Creek 2,14,8,0,4
Memphis 61,15,1043,4,9
21-1,15,1254,2,5
220 Collegedale 6,18,1,0,1
003 Amnicola,18,128,1,3
Memphis 60-9,18,1239,3,5
Memphis 13,19,963,2,4
176 Kingspoint 3,20,23,0,0
201 Summit 4,20,53,0,6
15-5,20,96,0,2
Memphis 34-2,22,979,1,2
Memphis 76-5,22,1352,0,7
23-5,22,18,0,3
18-5,22,55,0,2
Memphis 75-1,23,1308,1,11
Memphis 50-2,24,1328,7,2
Memphis 84-2,25,587,0,4
Memphis 49,25,1824,2,9
168 Ooltewah 6,27,19,0,3
Memphis 75-7,28,2098,5,9
174 Woodmore 2,29,47,0,3
Memphis 60-3,30,1332,4,7
4-2 Clinchmore,31,10,0,0
14 Austin-East,31,463,1,4
Memphis 76-4,31,1592,6,12
Memphis 47,31,1816,2,8
004 Avondale,32,803,1,5
Memphis 41-3,32,1558,7,11
217 Collegedale 5,33,4,0,1
1-2 Caton's Chapel,33,6,0,0
1 Allandale Outside,33,8,0,0
219 Soddy Daisy 4,33,19,0,1
Orme,34,14,1,3
137 St. Elmo 2,34,34,0,2
008 Bushtown,34,1086,1,14
5-Jan,33,1162,4,11
Memphis 79-7,35,1347,3,8
Memphis 42-1,35,1610,4,6
Memphis 75-6,35,2587,6,9
Memphis 52-1,37,912,2,12
1-Feb,36,1886,5,9
Memphis 92-1,38,763,1,6
19-5,38,470,0,4
4-May,39,623,1,10
5-2 Macedonia,40,863,6,3
2 Church Hill Outsid,41,11,0,2
Hubbard's Cove,41,22,0,2
Memphis 26,41,1407,1,2
Memphis 60-6,43,1033,1,4
Memphis 21,44,1490,1,10
17-3,45,150,0,17
3-Feb,44,355,0,2
Memphis 60-5,45,790,1,8
10W Howard Baker Center,46,17,0,6
018 East Chattanooga 1,46,408,1,8
Memphis 75-11,48,2437,3,6
1-4 Jones Cove,49,6,0,2
215 Mountain Creek 3,50,57,0,4
