,NAME,VTD,G16PRERTru_x,G16PREDCli_x,G16PREIDeL_x,G16PRELJoh_x,G16PRESKen_x,G16PREISmi_x,G16PREGSte_x,G16PREOth_x,geometry,county,join_col,County,Precinct,G16PRERTru_y,G16PREDCli_y,G16PREIDeL_y,G16PRELJoh_y,G16PRESKen_y,G16PREISmi_y,G16PREGSte_y,G16PREOth_y,_merge
2508,,,,,,,,,,,,,Clinton Middle,Anderson,Clinton Middle,453.0,87.0,1.0,9.0,0.0,1.0,3.0,0.0,right_only
2509,,,,,,,,,,,,,Lake City MS,Anderson,Lake City MS,1219.0,250.0,2.0,18.0,1.0,8.0,4.0,4.0,right_only
2510,,,,,,,,,,,,,Oak Ridge,Anderson,Oak Ridge,324.0,521.0,0.0,33.0,2.0,0.0,7.0,4.0,right_only
2511,,,,,,,,,,,,,Rocky Top,Anderson,Rocky Top,303.0,91.0,4.0,14.0,2.0,4.0,3.0,0.0,right_only
2512,,,,,,,,,,,,,1-1 Wartrace,Bedford,1-1 Wartrace,974.0,230.0,2.0,27.0,1.0,2.0,4.0,0.0,right_only
2513,,,,,,,,,,,,,1-2 Bell Buckle,Bedford,1-2 Bell Buckle,794.0,213.0,1.0,42.0,2.0,3.0,8.0,0.0,right_only
2514,,,,,,,,,,,,,2-3 Fair Haven,Bedford,2-3 Fair Haven,1605.0,298.0,3.0,31.0,0.0,10.0,7.0,1.0,right_only
2515,,,,,,,,,,,,,3-3 Unionville,Bedford,3-3 Unionville,1472.0,289.0,1.0,32.0,2.0,2.0,9.0,3.0,right_only
2516,,,,,,,,,,,,,4-3 Bedford,Bedford,4-3 Bedford,1582.0,308.0,4.0,20.0,0.0,6.0,6.0,1.0,right_only
2517,,,,,,,,,,,,,5-2 Flat Creek,Bedford,5-2 Flat Creek,1318.0,271.0,1.0,32.0,1.0,6.0,5.0,0.0,right_only
2518,,,,,,,,,,,,,5-5 Normandy,Bedford,5-5 Normandy,659.0,146.0,0.0,17.0,0.0,3.0,4.0,3.0,right_only
2519,,,,,,,,,,,,,6-1 East Side,Bedford,6-1 East Side,490.0,374.0,4.0,24.0,0.0,2.0,8.0,0.0,right_only
2520,,,,,,,,,,,,,7-1 Deery Eakin,Bedford,7-1 Deery Eakin,837.0,445.0,1.0,34.0,1.0,4.0,8.0,0.0,right_only
2521,,,,,,,,,,,,,8-1 Thomas,Bedford,8-1 Thomas,744.0,436.0,2.0,16.0,0.0,1.0,6.0,0.0,right_only
2522,,,,,,,,,,,,,9-2 Southside,Bedford,9-2 Southside,1011.0,385.0,6.0,31.0,1.0,8.0,10.0,0.0,right_only
