vest_ID,election_ID
12-51858,5-Dec
Summit 13374,063 Summit 1
16-51877,16-5
19-61895,19-6
Courthouse 23317,196 Courthouse 2
Apison 33375,216 Apison 3
Concord 53330,177 Concord 5
14-41866,14-4
Eastside 23332,132 Eastside 2
Alton Park 23368,214 Alton Park 2
Ooltewah 33358,143 Ooltewah 3
20-11896,20-1
18-11885,18-1
Memphis 128104,Memphis 12
Memphis 50-18145,Memphis 50-1
5-1 Whitehall Elementary School5653,5-1 Whitehall
Harrison 63428,218 Harrison 6
Mountain Creek 23392,106 Mountain Creek 2
Memphis 618171,Memphis 61
21-11899,21-1
Collegedale 63400,220 Collegedale 6
Amnicola3372,003 Amnicola
Memphis 60-98170,Memphis 60-9
Memphis 138105,Memphis 13
Kingspoint 33303,176 Kingspoint 3
Summit 43382,201 Summit 4
15-51872,15-5
Memphis 34-28120,Memphis 34-2
Memphis 76-58205,Memphis 76-5
23-51911,23-5
18-51889,18-5
Memphis 75-18200,Memphis 75-1
Memphis 50-28121,Memphis 50-2
Memphis 84-28228,Memphis 84-2
Memphis 498144,Memphis 49
Ooltewah 63424,168 Ooltewah 6
Memphis 75-78203,Memphis 75-7
Woodmore 23320,174 Woodmore 2
Memphis 60-38164,Memphis 60-3
Clinchmore0614,4-2 Clinchmore
144873,14 Austin-East
Memphis 76-48204,Memphis 76-4
Memphis 47-18142,Memphis 47
Avondale3394,004 Avondale
Memphis 41-38130,Memphis 41-3
Collegedale 53345,217 Collegedale 5
Catons Chapel 27972,1-2 Caton's Chapel
1 Allandale Outside3807,1 Allandale Outside
Soddy Daisy 43412,219 Soddy Daisy 4
Orme5759,Orme
St Elmo 23367,137 St. Elmo 2
Bushtown3373,008 Bushtown
1-51805,5-Jan
Memphis 79-78214,Memphis 79-7
Memphis 42-18131,Memphis 42-1
Memphis 75-68202,Memphis 75-6
Memphis 52-18146,Memphis 52-1
2-11806,1-Feb
Memphis 92-18243,Memphis 92-1
19-51894,19-5
5-41824,4-May
5-2 Macedonia Baptist Church5654,5-2 Macedonia
2 Church Hill Outside3810,2 Church Hill Outsid
Hubbard's Cove3159,Hubbard's Cove
Memphis 268113,Memphis 26
Memphis 60-68167,Memphis 60-6
Memphis 218111,Memphis 21
17-3 Wesley Foundation7688,17-3
2-31808,3-Feb
Memphis 60-58166,Memphis 60-5
10-W4893,10W Howard Baker Center
East Chattanooga 13300,018 East Chattanooga 1
Memphis 75-118201,Memphis 75-11
Jones Cove 27971,1-4 Jones Cove
Mountain Creek 33406,215 Mountain Creek 3
Houston Valley1418,Houston Valley
Memphis 76-68206,Memphis 76-6
1-3 Edgar Evins State Park2151,1-3 Edgar Evins Park
Dalewood3308,014 Dalewood
Lookout Valley 23364,092 Lookout Valley 2
Rosedale0024,Rosedale
2-41809,4-Feb
Memphis 82-28224,Memphis 82-2
Memphis 838226,Memphis 83
Memphis 118103,Memphis 11
Memphis 59-58161,Memphis 59-5
94861,09 Eternal Life Harvest
1-2 Mt. Moriah Baptist Church5652,1-2 Mt Moriah
Pleasant Grove 23401,103 Pleasant Grove 2
Happy Valley0435,Happy Valley
Concord 63425,178 Concord 6
Memphis 73-18191,Memphis 73-1
Ridgedale 23420,211 Ridgedale 2
01 Christ Temple Apostolic Church3904,1-Jan
21-31901,21-3
Memphis 78-38210,Memphis 78-3
Bolestown7057,Bolestown 4-4
Memphis 79-18211,Memphis 79-1
32-21945,32-2
4-1 Gibson Hall1212,4-1 Gibson Hall
09A Stanton City Hall3910,1-Sep
Memphis 378125,Memphis 37
National Guard Armory0922,National Guard
Memphis 79-38213,Memphis 79-3
5-13 Braden Chapel Church9008,5-2 Braden Chapel
Memphis 74-98199,Memphis 74-9
Memphis 45-28138,Memphis 45-2
4 Gray City9337,04 Gray City
Collins3154,Collins
Memphis 79-28212,Memphis 79-2
7-1 UT Agricultural Experiment Station5656,7-1 UT Experiment
124865,12 Eastport
White Hill Community Cntr.9107,White Hill
Memphis 77-38209,Memphis 77-3
Tarlton3151,Tarlton
19-31892,19-3
Memphis 77-18207,Memphis 77-1
Concord 73305,206 Concord 7
Ooltewah 53360,169 Ooltewah 5
Griffith0305,1-2 Griffith
Barnes Ridge7059,Barnes Ridge 4-3
3rd Beacon2063,3-1 Beacon
Murray Hills 23356,182 Murray Hills 2
08 St. James Baptist Church2756,4 St James Baptist
2-51810,5-Feb
14 Vale0811,Vale
3-1 Christian Chapel4012,3-4 Christian Chapel
Memphis 94-68244,Memphis 94-6
2-21807,2-Feb
Alton Park 13419,212 Alton Park 1
4 Shiloh3716,Shiloh 4-1
5-3 Sherwood2661,5-3 Sherwood
7-2 Cumberland Gap1209,7-2 Cumberland Gap
5 Guys6165,Guys 5-3
East Chattanooga 23421,192 East Chattanooga 2
Woodmore 13391,173 Woodmore 1
4-2 Rock Castle2162,4-2 Rock Castle
Memphis 20-38110,Memphis 20-3
Glenwood3411,023 Glenwood
31 Cherokee City9331,31 Cherokee City
204863,20 Beaumont
3-51815,5-Mar
Tyner 23340,097 Tyner 2
17-2 Kingwood Heights Church of Christ7687,17-2
1 Tiptonville Senior Center4951,1 Tiptonville SR Citizens
East Jamestown2563,East Jamestown
13-41862,13-4
50-N4858,50N West High
Ross Store 158268,Ross 15
3-21812,2-Mar
19-W4894,19W Thrive Lonsdale
16-41876,16-4
4-3 Liberty1216,4-3 Liberty
401 Brush Creek6957,4-1 Brush Creek
Memphis 36-28123,Memphis 36-2
Memphis 60-78168,Memphis 60-7
Lee Station0306,6-1 Lee Station
7 High School8807,07 High School
5-31823,3-May
09 Humboldt Lane Chapel2757,5 Lane Chapel Church
4 Upper Beech3806,4 Upper Beech
20 Westport0813,Westport
11 Buena Vista0819,Buena Vista
Memphis 70-28184,Memphis 70-2
04C Poplar Grove Community Center7275,4C Poplar Grove
Ross Store 148267,Ross 14
2A Springtown Firehall7160,2A Springtown
17-31880,17-3
Memphis 93-18245,Memphis 93-1
1B6479,1B Emmanuel
17-51882,17-5
17-21879,17-2
6-31828,3-Jun
Memphis 31-48118,Memphis 31-4
Ridgeside3409,061 Ridgeside
08E Buffalo Valley7270,8E Buffalo Valley
Memphis 338119,Memphis 33
Eastgate 13312,094 Eastgate 1
10 Humboldt High School2758,6 Humboldt HS
Lodge5756,Lodge
5-11821,1-May
5-1 Keith Springs2659,5-1 Keith Springs
F - Dyer County Central2361,F- Dyer Co Central
8-11837,1-Aug
