,Precinct
0,Andersonville
1,Briceville
2,Bull Run
3,Clinton
4,Clinton High
5,Claxton
6,Clinton Middle
7,Dutch Valley
8,Emory Valley
9,Fairview
10,Glen Alpine
11,Glenwood
12,Hendrix Creek
13,Highland View
14,Lake City MS
15,Marlow
16,North Clinton
17,Norris
18,Norwood
19,Oak Ridge
20,Pine Valley
21,Robertsville
22,Rosedale
23,Rocky Top
24,South Clinton
25,Woodland
26,West Hills
27,1-1 Wartrace
28,1-2 Bell Buckle
29,2-3 Fair Haven
30,3-3 Unionville
31,4-3 Bedford
32,5-2 Flat Creek
33,5-5 Normandy
34,6-1 East Side
35,7-1 Deery Eakin
36,8-1 Thomas
37,9-2 Southside
38,Early Voting - Write-Ins
39,1 Holladay
40,2 Camden Jr High
41,3 Camden City Hall
42,4 Camden Elementary
43,5 Library
44,6 Big Sandy
45,1-1 Dill
46,1-2 Griffith
47,1-3 Mt. Crest
48,2-1 Cold Springs
49,2-2 Luminary
50,3-1 Brayton
51,3-2 Rigsby
52,4-1 Pikeville
53,5-1 Bellview
54,5-2 Nine Mile
55,6-1 Lee Station
56,6-2 Lusk
57,Alcoa
58,Beech Grove
59,Big Springs
60,Board of Education
61,Carpenters
62,Chilhowee View
63,Eagleton MS Cafeteria
64,Everett
65,Fairview
66,Friendsville
67,Happy Valley
68,Heritage
69,John Sevier
70,Lanier
71,Louisville
72,Martin Luther King
73,Maryville College
74,Maryville HS
75,Maryville Jr High
76,Maryville Municipal
77,Mentor
78,Middlesettlements
79,Miser Station
80,Montvale
81,Oak Street
82,Oakview
83,Pellissippi Campus
84,Porter
85,Prospect
86,Rockford
87,Townsend
88,Walland
89,William Blount HS
90,Wm Blount Academy
91,1-1 McDonald
92,1-2 Prospect
93,1-3 Hopewell
94,2-1 E.L. Ross
95,2-2 Walker Valley
96,3-1 Lee University
97,3-2 Senior Center
98,4-1 Oak Grove
99,4-2 Michigan Ave
100,5-1 Blythe/Bower
101,5-2 Museum
102,6-1 Valley View
103,6-2 Blue Springs
104,6-3 Waterville
105,6-4 Black Fox
106,7-1 Stuart
107,7-2 Cleveland High
108,Early Voting - Write-Ins
109,1-1 Alder Springs
110,1-2 Demory
111,1-3 Pinecrest
112,1-4 Valley View
113,1-5 Well Springs
114,2-1 College Hill
115,2-2 East LaFollette
116,2-3 LaFollette ES
117,3-1 CCHS
118,3-2 Jacksboro Sta
119,3-3 West LaFollette
120,4-1 Caryville
121,4-2 Clinchmore
122,4-3 Jacksboro
123,4-4 Ridgewood
124,5-1 Elk Valley
125,5-2 Habersham
126,5-3 Jellico
127,5-4 Newcomb
128,5-5 White Oak
129,1-1 Westside
130,2-1 Auburntown
131,2-2 Gassaway
132,2-3 Pleasant Ridge
133,2-4 Short Mountain
134,3-2 Woodland
135,4-1 Eastside
136,4-2 Short Mountain
137,5-1 Woodbury
138,Early Voting - Write-Ins
139,Lavinia
140,Trezevant
141,McLemoresville
142,Cedar Grove
143,Clarksburg
144,Macedonia
145,Civic Center
146,Huntingdon
147,Buena Vista
148,Bruceton
149,Hollow Rock
150,Vale
151,Atwood
152,Senior Citizens
153,Cannon
154,Concord
155,Westport
156,Bethel College
157,McKenzie
158,Hunter
159,Midway
160,Unaka
161,Roan Mountain
162,Tiger Valley
163,Central
164,Keenburg
165,Range
166,Watauga
167,Courthouse
168,Eastside
169,National Guard
170,Siam
171,Happy Valley
172,Elk Mills
173,Hampton
174,Little Milligan
175,Valley Forge
176,Gap Creek
177,Westside
178,Harold McCormick
179,High School
180,Early Voting - Write-Ins
181,1-1 County Library
182,2-2 East Cheatham
183,3-1 Pleasant View
184,4-1 West Cheatham
185,4-3 Sycamore
186,5-1 Greenbrier
187,5-2 Pegram
188,6-1 Harpeth
189,1-2 Enville
190,1-5 Sweet Lips
191,1-6 Harmony
192,2-1 Jacks Creek
193,2-2 Friendship
194,3-2 Montezuma
195,3-4 Masseyville
196,3-6 Deanburg
197,4-1 West Chester
198,4-1 West Chester - City
199,5-1 East Chester
200,5-1 East Chester - City
201,6-1 City Hall
202,1-1 Tazewell
203,2-1 Clouds
204,2-2 Goin
205,2-3 Sandlick
206,3-1 Lone Mountain
207,3-2 New Tazewell
208,4-1 Gibson Hall
209,4-2 Howard's Quarter
210,4-3 Liberty
211,4-4 Springdale
212,5-1 Big Spring Union
213,6-1 Harrogate
214,7-1 Arthur
215,7-2 Cumberland Gap
216,8-1 Rogers Mill
217,8-2 Vanbebber Sprngs
218,9-1 Clairfield
219,1 Dentons Cross Road
220,2 Hermitage Springs
221,3 Celina
222,4-1 Maple Grove
223,4-2 Butlers Landing
224,5-1 Beech Bethany
225,5-2 Pea Ridge
226,Del Rio
227,Grassy Fork
228,Edwina
229,Bridgeport
230,Long Creek
231,Houston Valley
232,Parrottsville
233,Centerview
234,Forest Hill
235,Rankin
236,Armory
237,Edgemont
238,Cocke County High
239,Cosby
240,Smoky Mountain
241,Newport Grammar
242,Central
243,Northport
244,West End
245,1 Ada Wright CC
246,2 St Paul
247,3 Trinity
248,4 First Baptist
249,5 Hillsboro
250,6 TN Vocational Center
251,7 Forest Mill
252,8 New Union
253,9-1 Pocahontas
254,9-2 Summitville
255,10 Mt. Ararat
256,11 Fredonia
257,12 North Coffee
258,13-1 Blanton's Chapel
259,13-2 Grace Baptist
260,14 Hickerson
261,15 Grace Baptist
262,16 Lion's Club
263,17 National Guard Armory
264,18 First Christian
265,19 CD Stamps Center
266,20 Sr Citizens Center
267,21 Wilson Ave
268,01
269,02
270,03
271,04
272,05
273,06
274,07
275,08
276,09
277,10
278,11
279,12
280,1 Cornerstone
281,2 Complex 2
282,3 Homestead
283,3 Dorton
284,3 Linary
285,3 Big Lick
286,4 Tabor
287,4 Bakers
288,4 Oak Hill
289,5 Lantana
290,5 Vandever
291,5 Tansi
292,6 Crab Orchard
293,6 Chestnut Hill
294,6 Ozone-Pineview
295,6 Grassy Cove
296,7 Rinnie
297,7 Woody
298,7 Mayland
299,8 Pleasant Hill
300,8 Pomona
301,8 Midway
302,9 Fairfield North
303,9 Fairfield South
304,Early Voting - Write-Ins
305,01-1
306,01-2
307,01-3
308,01-4
309,01-5
310,02-1
311,02-2
312,02-3
313,02-4
314,02-5
315,03-1
316,03-2
317,03-3
318,03-4
319,03-5
320,03-6
321,04-1
322,04-2
323,04-3
324,04-4
325,05-1
326,05-2
327,05-3
328,05-4
329,05-5
330,06-1
331,06-2
332,06-3
333,06-4
334,06-5
335,07-1
336,07-2
337,07-3
338,07-4
339,07-5
340,07-6
