,NAME
0,8
1,6
2,Mayland
3,Rinnie
4,Woody
5,Oak Hill
6,Crab Orchard Town Hall
7,Fairfield Glade North
8,Martin Luther King
9,Everett
10,Lanier
11,William Blount Academy
12,Maryville High School
13,Miser Station
14,Louisville
15,Heritage
16,Chilhowee View
17,East LaFollette
18,Jacksboro
19,Eastside
20,Valley Forge
21,Harold McCormick
22,Little Milligan
23,5-1 Greenbrier Church of Christ
24,Fairfield Glade South
25,Chestnut Hill
26,Ozone-Pineview
27,Grassy Cove
28,Linary
29,Big Lick
30,Vandever
31,Tansi
32,Homestead
33,Dorton
34,Complex 2
35,Cornerstone Baptist Church
36,Lantana
37,Midway
38,Pleasant Hill
39,Pomona
40,Bakers
41,Tabor
42,10-4
43,Big Springs
44,William Blount High
45,Campbell County High School
46,Demory
47,Alder Springs
48,Well Springs
49,Habersham
50,White Oak
51,Newcomb
52,Jellico
53,Gassaway
54,4 Short Mountain
55,Westside
56,Eastside
57,Woodland
58,Auburntown
59,Pleasant Ridge
60,2 Short Mountain
61,8 Civic Center
62,17 Senior Citizens
63,12 Bruceton
64,4-3 Sycamore Middle School
65,3-1 Pleasant View City Hall
66,2-1 East Cheatham Elementary
67,4-1 West Cheatham Elementary
68,6-1 Harpeth High School
69,5-2 Pegram City Hall
70,1-1 Cheatham Co Library
71,5-1 East Chester School
72,1-2 Enville
73,3-2 Montezuma
74,2-2 Friendship
75,4-1 West Chester School
76,3-6 Deanburg
77,3-4 Masseyville
78,6-1 City Hall
79,2-1 Jacks Creek
80,1-5 Sweet Lips
81,10-5
82,10-6
83,11-1
84,11-2
85,Walland
86,Montvale
87,Porter
88,John Sevier
89,Maryville College
90,Prospect
91,601 Valley View School
92,401 Oak Grove School
93,603 Waterville School
94,Woodbury
95,13 Hollow Rock
96,6 Clarksburg
97,11 Buena Vista
98,4 McLemoresville
99,16 Atwood
100,22 McKenzie City hall
101,9 Huntingdon Police Station
102,5 Cedar Grove
103,18 Cannon
104,1 Lavinia
105,21 Bethel
106,20 Westport
107,2 Trezevant
108,1-6 Harmony
109,7-1 Arthur
110,9-1 Clairfield
111,5-1 Big Spring Union
112,6-1 Harrogate
113,2-2 Goin
114,3-2 New Tazewell
115,3-1 Lone Mountain
116,8-2 Vanbebber Springs
117,12-2
118,12-3
119,1-1
120,1-2
121,1-3
122,501 Blythe/Bower School
123,602 Blue Springs School
124,102 Prospect School
125,103 Hopewell School
126,101 McDonald Ruritan
127,701 Stuart School
128,604 Black Fox School
129,201 E.L. Ross School
130,202 Walker Valley High
131,302 Senior Center
132,7 Macedonia
133,14 Vale
134,19 Concord
135,Elk Mills
136,Roan Mountain
137,Hampton
138,Gap Creek
139,Tiger Valley
140,Unaka
141,Watauga
142,Midway
143,7-2 Cumberland Gap
144,1-1 Tazewell
145,2-3 Sandlick
146,4-1 Gibson Hall
147,2-1 Clouds
148,4-2 Howard's Quarter
149,4-4 Springdale
150,4-3 Liberty
151,8-1 Rogers Mill
152,4-1 Maple Grove
153,5-1 Arcot/Beech Bethany
154,1 Dentons Cross Roads
155,5-2 Pea Ridge
156,10-2
157,10-3
158,702 Cleveland High
159,402 Michigan Ave School
160,301 Lee University
161,502 5 Points Museum
162,National Guard Armory
163,Happy Valley
164,Central
165,Range
166,Westside
167,3 Celina
168,4-2 Butlers Landing
169,2 Hermitage Springs
170,Long Creek
171,Cocke County High School
172,Centerview
173,Del Rio
174,Smoky Mountain
175,Newport Grammar School
176,11-3
177,11-4
178,12-1
179,College Hill
180,Caryville
181,West LaFollette
182,Valley View
183,Elk Valley
184,LaFollette Elementary School
185,High School
186,Court House
187,Keenburg
188,Hunter
189,Siam
190,Northport
191,Grassy Fork
192,Edwina
193,Cosby
194,Armory
195,Edgemont
196,Forest Hill
197,West End
198,Bridgeport
199,Houston Valley
200,1-4
201,1-5
202,10-1
203,South Clinton
204,Clinton
205,Clinton High
206,Emory Valley
207,Pine Valley
208,Oak Ridge City Hall
209,West Hills
210,Bull Run
211,Claxton
212,Andersonville
213,Glen Alpine
214,Glenwood
215,Highland View
216,Woodland
