,COUNTY,NAME
0,16,8
1,16,6
2,17,Mayland
3,17,Rinnie
4,17,Woody
5,17,Oak Hill
6,17,Crab Orchard Town Hall
7,17,Fairfield Glade North
8,04,Martin Luther King
9,04,Everett
10,04,Lanier
11,04,William Blount Academy
12,04,Maryville High School
13,04,Miser Station
14,04,Louisville
15,04,Heritage
16,04,Chilhowee View
17,06,East LaFollette
18,06,Jacksboro
19,09,Eastside
20,09,Valley Forge
21,09,Harold McCormick
22,09,Little Milligan
23,10,5-1 Greenbrier Church of Christ
24,17,Chestnut Hill
25,17,Ozone-Pineview
26,17,Grassy Cove
27,17,Linary
28,17,Big Lick
29,17,Vandever
30,17,Tansi
31,17,Homestead
32,17,Dorton
33,17,Complex 2
34,17,Cornerstone Baptist Church
35,17,Lantana
36,17,Midway
37,17,Pleasant Hill
38,17,Pomona
39,17,Bakers
40,17,Tabor
41,18,10-4
42,04,Big Springs
43,04,William Blount High
44,06,Campbell County High
45,06,Demory
46,06,Alder Springs
47,06,Well Springs
48,06,Habersham
49,06,White Oak
50,06,Newcomb
51,06,Jellico
52,07,Gassaway
53,07,4 Short Mountain
54,07,Westside
55,07,Eastside
56,07,Woodland
57,07,Auburntown
58,07,Pleasant Ridge
59,07,2 Short Mountain
60,08,8 Civic Center
61,08,17 Senior Citizens
62,08,12 Bruceton
63,10,4-3 Sycamore Middle School
64,10,3-1 Pleasant View City Hall
65,10,2-1 East Cheatham Elementary
66,10,4-1 West Cheatham Elementary
67,10,6-1 Harpeth High School
68,10,5-2 Pegram City Hall
69,10,1-1 Cheatham Co Library
70,11,1-2 Enville
71,11,3-2 Montezuma
72,11,2-2 Friendship
73,11,3-6 Deanburg
74,11,3-4 Masseyville
75,11,6-1 City Hall
76,11,2-1 Jacks Creek
77,11,1-5 Sweet Lips
78,18,10-5
79,18,10-6
80,18,11-1
81,18,11-2
82,04,Walland
83,04,Montvale
84,04,Porter
85,04,John Sevier
86,04,Maryville College
87,04,Prospect
88,05,601 Valley View School
89,05,401 Oak Grove School
90,05,603 Waterville School
91,07,Woodbury
92,08,13 Hollow Rock
93,08,6 Clarksburg
94,08,11 Buena Vista
95,08,4 McLemoresville
96,08,16 Atwood
97,08,22 McKenzie City hall
98,08,9 Huntingdon Police Station
99,08,5 Cedar Grove
100,08,18 Cannon
101,08,1 Lavinia
102,08,21 Bethel
103,08,20 Westport
104,08,2 Trezevant
105,11,1-6 Harmony
106,12,7-1 Arthur
107,12,9-1 Clairfield
108,12,5-1 Big Spring Union
109,12,6-1 Harrogate
110,12,2-2 Goin
111,12,3-2 New Tazewell
112,12,3-1 Lone Mountain
113,12,8-2 Vanbebber Springs
114,18,12-2
115,18,12-3
116,18,01-1
117,18,01-2
118,18,01-3
119,05,201 E.L. Ross School
120,05,202 Walker Valley High
121,05,302 Senior Center
122,08,7 Macedonia
123,08,14 Vale
124,08,19 Concord
125,09,Elk Mills
126,09,Roan Mountain
127,09,Hampton
128,09,Gap Creek
129,09,Tiger Valley
130,09,Unaka
131,09,Watauga
132,09,Midway
133,12,7-2 Cumberland Gap
134,12,1-1 Tazewell
135,12,2-3 Sandlick
136,12,4-1 Gibson Hall
137,12,2-1 Clouds
138,12,4-2 Howard's Quarter
139,12,4-4 Springdale
140,12,4-3 Liberty
141,12,8-1 Rogers Mill
142,13,4-1 Maple Grove
143,13,5-1 Beech Bethany
144,13,1 Dentons Cross Roads
145,13,5-2 Pea Ridge
146,18,10-2
147,18,10-3
148,05,702 Cleveland High
149,05,402 Michigan Ave School
150,05,301 Lee University
151,05,502 5 Points Museum
152,09,National Guard Armory
153,09,Happy Valley
154,09,Central
155,09,Range
156,09,Westside
157,13,3 Celina
158,13,4-2 Butlers Landing
159,13,2 Hermitage Springs
160,14,Long Creek
161,14,Cocke County High
162,14,Centerview
163,14,Del Rio
164,14,Smoky Mountain
165,14,Newport Grammar
166,18,11-3
167,18,11-4
168,18,12-1
169,06,College Hill
170,06,Caryville
171,06,West LaFollette
172,06,Valley View
173,06,Elk Valley
174,06,LaFollette Elementary
175,09,High School
176,09,Courthouse
177,09,Keenburg
178,09,Hunter
179,09,Siam
180,14,Northport
181,14,Grassy Fork
182,14,Edwina
183,14,Cosby
184,14,Armory
185,14,Edgemont
186,14,Forest Hill
187,14,West End
188,14,Bridgeport
189,14,Houston Valley
190,18,01-4
191,18,01-5
192,18,10-1
193,00,South Clinton
194,00,Clinton
195,00,Clinton High
196,00,Emory Valley
197,00,Pine Valley
198,00,Oak Ridge City Hall
199,00,West Hills
200,00,Bull Run
201,00,Claxton
202,00,Andersonville
203,00,Glen Alpine
204,00,Glenwood
205,00,Highland View
206,00,Woodland
207,14,Parrottsville
208,15,16 Lions Club
209,15,05 Hillsboro Community Center
210,15,06 Tennessee Vocational Center
211,00,Robertsville
212,00,Hendrix Creek
213,14,Rankin
214,14,Central
215,15,07 Forrest Mill Church of Christ Activity Center
216,00,Fairview
217,00,Norris
218,00,Lake City Middle School
219,15,15 Grace Baptist Church
220,15,18 First Christian Church
221,00,Rocky Top
222,00,Briceville
223,00,Rosedale
224,00,Norwood
225,00,Marlow
226,00,Dutch Valley
227,00,Clinton Middle School
228,00,North Clinton
229,01,101 Wartrace Baptist Church
230,01,801 Thomas School
231,01,502 Flat Creek Community Center
232,01,303 Uniounville Fire Hall
233,01,403 Bedford Community Center
234,01,601 East Side School
235,15,19 CD Stamps Center
236,15,08 New Union Fire Hall
237,15,9-1 Pocahontas Community Center
238,15,9-2 Summitville Community Center
239,15,13-2 Grace Baptist Center
240,15,17 National Guard Armory
241,01,701 Deery Eakin School
242,01,102 Bell Buckle/Webb School
243,01,203 Fairhaven Baptist Church
244,01,505 Normandy Baptist Church
245,01,902 Southside School
246,02,6 Big Sandy School
247,02,5 Benton Co. Library
248,02,1 Holladay School
249,02,3 Camden City Hall
250,02,2 Camden Jr High
251,02,4 Camden Elementary School
252,03,Lee Station
253,03,Pikeville
254,03,Dill
255,03,Griffith
256,03,Nine Mile
257,03,Luminary
258,03,Bellview
259,06,Jacksboro Station
260,06,Pinecrest
261,06,Ridgewood
262,06,Clinchmore
263,15,02 Saint Paul United Methodist Church
264,15,20 Coffee County Senior Citizens
265,15,21 Wilson Avenue Church of Christ
266,03,Cold Springs
267,03,Mt.Crest
268,03,Rigsby
269,04,Fairview
270,04,Carpenters
271,04,Happy Valley
272,04,Pellissippi Campus
273,04,Eagleton Cafeteria
274,04,Townsend
275,04,Oak View
276,15,04 First Baptist Church
277,15,03 Trinity Baptist Church
278,15,01 Ada Right Center
279,15,10 Mt. Ararat Baptist Church
280,15,11 Freedonia Community Center
281,15,12 North Coffee Elementary School
282,15,13-1 Blanton's Chapel Community Center
283,15,14 Hickerson Fire Hall
284,16,4
285,16,1
286,16,2
287,16,11
288,16,12
289,16,5
290,16,3
291,04,Rockford
292,04,Middlesettlements
293,04,Alcoa High School
294,04,Board of Education
295,04,Maryville Junior High
296,04,Mentor
297,04,Beech Grove
298,04,Oak Street
299,04,Maryville Municipal
300,04,Friendsville
301,16,9
302,16,10
303,16,7
304,19,31-4
305,19,32-1
306,19,32-2
307,25,Courthouse
308,26,5-3 Sherwood
309,26,7-1 North Lake
310,26,1-1 FC Annex
311,26,8-1 Decherd
312,26,6-3 UTSI
313,26,6-2 Capitol Hill
314,26,4-2 Cowan
315,26,3-3 Walnut Grove
316,26,7-2 Winchester Springs & Center Grove
317,26,8-2 Estill Springs
318,26,6-1 Alto/Oak Grove
319,26,3-1 Broadview
320,26,3-2 Huntland
321,26,5-1 Keith Springs
322,26,2-1 Clark Memorial
323,26,4-3 Liberty
324,19,32-3
325,19,32-4
326,19,33-3
327,19,34-4
328,19,35-1
329,27,06 Humboldt Ch of Chr
330,27,02 Sitka Community Center
331,27,22 Agri Plex
332,27,28 Milan CPC
333,27,26 Union Central
334,27,37 Good Luck
335,27,32 Bradford
336,19,33-2
337,19,33-4
338,27,30 Milan Assembly/God
339,27,29 Milan Polk Clark
340,19,34-1
341,19,34-2
342,18,05-5
343,27,31 Milan Muni Bldg
344,27,09 Humboldt Lane Chapel
345,27,27 Skullbone
346,27,34 Laneview
347,27,14 Brazil
348,27,12 Edison
349,27,20 CourtHouse
350,18,06-1
351,18,06-2
352,18,06-3
353,18,08-2
354,27,38 Dyer
355,27,39 Currie
356,27,17 Yorkville
357,27,40 Rutherford
358,27,13 Fruitland
359,27,08 St. James Baptist Church
360,27,07 Humboldt Bailey Park
361,18,08-3
362,18,08-4
363,27,04 Gibson
364,27,24 Moore's Chapel
365,27,01 Medina
366,27,18 Kenton
367,27,10 Humboldt High School
368,28,1B Prospect
369,28,2B Airport
370,28,2A Minor Hill
371,28,1A Ardmore
372,28,3A Richland Trace Market
373,18,09-1
374,18,09-2
375,18,09-3
376,18,06-4
377,28,3B Campbellsville
378,28,4A Lynnville
379,28,4B Odds Fellows Hall
380,28,5A TCAT
381,28,5B Agri-Park
