,COUNTY,NAME
Anderson,0,South Clinton
Anderson,0,Clinton
Anderson,0,Clinton High
Anderson,0,Emory Valley
Anderson,0,Pine Valley
Anderson,0,Oak Ridge City Hall
Anderson,0,West Hills
Anderson,0,Bull Run
Anderson,0,Claxton
Anderson,0,Andersonville
Anderson,0,Glen Alpine
Anderson,0,Glenwood
Anderson,0,Highland View
Anderson,0,Woodland
Anderson,0,Robertsville
Anderson,0,Hendrix Creek
Anderson,0,Fairview
Anderson,0,Norris
Anderson,0,Lake City Middle School
Anderson,0,Rocky Top
Anderson,0,Briceville
Anderson,0,Rosedale
Anderson,0,Norwood
Anderson,0,Marlow
Anderson,0,Dutch Valley
Anderson,0,Clinton Middle School
Anderson,0,North Clinton
Bedford,1,101 Wartrace Baptist Church
Bedford,1,801 Thomas School
Bedford,1,502 Flat Creek Community Center
Bedford,1,303 Uniounville Fire Hall
Bedford,1,403 Bedford Community Center
Bedford,1,601 East Side School
Bedford,1,701 Deery Eakin School
Bedford,1,102 Bell Buckle/Webb School
Bedford,1,203 Fairhaven Baptist Church
Bedford,1,505 Normandy Baptist Church
Bedford,1,902 Southside School
Benton,2,6 Big Sandy School
Benton,2,5 Benton Co. Library
Benton,2,1 Holladay School
Benton,2,3 Camden City Hall
Benton,2,2 Camden Jr High
Benton,2,4 Camden Elementary School
Bledsoe,3,Lee Station
Bledsoe,3,Pikeville
Bledsoe,3,Dill
Bledsoe,3,Griffith
Bledsoe,3,Nine Mile
Bledsoe,3,Luminary
Bledsoe,3,Bellview
Bledsoe,3,Cold Springs
Bledsoe,3,Mt.Crest
Bledsoe,3,Rigsby
Bledsoe,3,Lusk
Bledsoe,3,Brayton
Blount,4,Martin Luther King
Blount,4,Everett
Blount,4,Lanier
Blount,4,William Blount Academy
Blount,4,Maryville High School
Blount,4,Miser Station
Blount,4,Louisville
Blount,4,Heritage
Blount,4,Chilhowee View
Blount,4,Big Springs
Blount,4,William Blount High
Blount,4,Walland
Blount,4,Montvale
Blount,4,Porter
Blount,4,John Sevier
Blount,4,Maryville College
Blount,4,Prospect
Blount,4,Fairview
Blount,4,Carpenters
Blount,4,Happy Valley
Blount,4,Pellissippi Campus
Blount,4,Eagleton Cafeteria
Blount,4,Townsend
Blount,4,Oak View
Blount,4,Rockford
Blount,4,Middlesettlements
Blount,4,Alcoa High School
Blount,4,Board of Education
Blount,4,Maryville Junior High
Blount,4,Mentor
Blount,4,Beech Grove
Blount,4,Oak Street
Blount,4,Maryville Municipal
Blount,4,Friendsville
Bradley,5,601 Valley View School
Bradley,5,401 Oak Grove School
Bradley,5,603 Waterville School
Bradley,5,201 E.L. Ross School
Bradley,5,202 Walker Valley High
Bradley,5,302 Senior Center
Bradley,5,702 Cleveland High
Bradley,5,402 Michigan Ave School
Bradley,5,301 Lee University
Bradley,5,502 5 Points Museum
Bradley,5,602 Blue Springs School
Bradley,5,102 Prospect School
Bradley,5,501 Blythe/Bower School
Bradley,5,701 Stuart School
Bradley,5,604 Black Fox School
Bradley,5,103 Hopewell School
Bradley,5,101 McDonald Ruritan
Campbell,6,East LaFollette
Campbell,6,Jacksboro
Campbell,6,Campbell County High
Campbell,6,Demory
Campbell,6,Alder Springs
Campbell,6,Well Springs
Campbell,6,Habersham
Campbell,6,White Oak
Campbell,6,Newcomb
Campbell,6,Jellico
Campbell,6,College Hill
Campbell,6,Caryville
Campbell,6,West LaFollette
Campbell,6,Valley View
Campbell,6,Elk Valley
Campbell,6,LaFollette Elementary
Campbell,6,Jacksboro Station
Campbell,6,Pinecrest
Campbell,6,Ridgewood
Campbell,6,Clinchmore
Cannon,7,Gassaway
Cannon,7,4 Short Mountain
Cannon,7,Westside
Cannon,7,Eastside
Cannon,7,Woodland
Cannon,7,Auburntown
Cannon,7,Pleasant Ridge
Cannon,7,2 Short Mountain
Cannon,7,Woodbury
Carroll,8,8 Civic Center
Carroll,8,17 Senior Citizens
Carroll,8,12 Bruceton
Carroll,8,13 Hollow Rock
Carroll,8,6 Clarksburg
Carroll,8,11 Buena Vista
Carroll,8,4 McLemoresville
Carroll,8,16 Atwood
Carroll,8,22 McKenzie City hall
Carroll,8,9 Huntingdon Police Station
Carroll,8,5 Cedar Grove
Carroll,8,18 Cannon
Carroll,8,1 Lavinia
Carroll,8,21 Bethel
Carroll,8,20 Westport
Carroll,8,2 Trezevant
Carroll,8,7 Macedonia
Carroll,8,14 Vale
Carroll,8,19 Concord
