,County,Precinct,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREISMI,G16PREIKEN,G16PREIFUE,G16PREOWRI,COUNTYFP
0,Anderson,Andersonville,1222,227.0,32.0,5.0,7.0,1.0,2.0,4.0,001
1,Anderson,Briceville,243,42.0,5.0,0.0,1.0,0.0,3.0,0.0,001
2,Anderson,Bull Run,1397,424.0,76.0,6.0,13.0,2.0,3.0,9.0,001
3,Anderson,Clinton,1330,556.0,47.0,8.0,19.0,2.0,5.0,4.0,001
4,Anderson,Clinton High,792,279.0,33.0,7.0,7.0,4.0,2.0,9.0,001
5,Anderson,Claxton,1319,387.0,53.0,5.0,8.0,0.0,2.0,8.0,001
6,Anderson,Clinton Middle,453,87.0,9.0,3.0,1.0,0.0,1.0,0.0,001
7,Anderson,Dutch Valley,271,73.0,11.0,0.0,2.0,0.0,0.0,1.0,001
8,Anderson,Emory Valley,1034,894.0,88.0,19.0,15.0,3.0,1.0,18.0,001
9,Anderson,Fairview,543,117.0,12.0,1.0,6.0,0.0,1.0,2.0,001
10,Anderson,Glen Alpine,1149,304.0,48.0,4.0,9.0,2.0,3.0,2.0,001
11,Anderson,Glenwood,763,608.0,75.0,22.0,6.0,5.0,4.0,9.0,001
12,Anderson,Hendrix Creek,849,784.0,77.0,10.0,10.0,2.0,3.0,12.0,001
13,Anderson,Highland View,299,278.0,28.0,4.0,3.0,1.0,2.0,7.0,001
14,Anderson,Lake City MS,1219,250.0,18.0,4.0,8.0,1.0,2.0,4.0,001
15,Anderson,Marlow,505,111.0,13.0,0.0,1.0,1.0,3.0,3.0,001
16,Anderson,North Clinton,809,245.0,30.0,10.0,11.0,3.0,2.0,2.0,001
17,Anderson,Norris,412,365.0,34.0,7.0,2.0,0.0,3.0,0.0,001
18,Anderson,Norwood,915,266.0,40.0,10.0,9.0,1.0,5.0,5.0,001
19,Anderson,Oak Ridge,324,521.0,33.0,7.0,0.0,2.0,0.0,4.0,001
20,Anderson,Pine Valley,748,606.0,84.0,22.0,8.0,2.0,5.0,4.0,001
21,Anderson,Robertsville,496,434.0,46.0,10.0,9.0,2.0,7.0,11.0,001
22,Anderson,Rosedale,53,27.0,0.0,0.0,1.0,0.0,2.0,0.0,001
23,Anderson,Rocky Top,303,91.0,14.0,3.0,4.0,2.0,4.0,0.0,001
24,Anderson,South Clinton,674,177.0,30.0,2.0,7.0,2.0,1.0,3.0,001
25,Anderson,Woodland,350,286.0,28.0,7.0,3.0,2.0,6.0,10.0,001
26,Anderson,West Hills,740,574.0,70.0,13.0,4.0,2.0,2.0,12.0,001
27,Bedford,1-1 Wartrace,974,230.0,27.0,4.0,2.0,1.0,2.0,0.0,003
28,Bedford,1-2 Bell Buckle,794,213.0,42.0,8.0,3.0,2.0,1.0,0.0,003
29,Bedford,2-3 Fair Haven,1605,298.0,31.0,7.0,10.0,0.0,3.0,1.0,003
30,Bedford,3-3 Unionville,1472,289.0,32.0,9.0,2.0,2.0,1.0,3.0,003
31,Bedford,4-3 Bedford,1582,308.0,20.0,6.0,6.0,0.0,4.0,1.0,003
32,Bedford,5-2 Flat Creek,1318,271.0,32.0,5.0,6.0,1.0,1.0,0.0,003
33,Bedford,5-5 Normandy,659,146.0,17.0,4.0,3.0,0.0,0.0,3.0,003
34,Bedford,6-1 East Side,490,374.0,24.0,8.0,2.0,0.0,4.0,0.0,003
35,Bedford,7-1 Deery Eakin,837,445.0,34.0,8.0,4.0,1.0,1.0,0.0,003
36,Bedford,8-1 Thomas,744,436.0,16.0,6.0,1.0,0.0,2.0,0.0,003
37,Bedford,9-2 Southside,1011,385.0,31.0,10.0,8.0,1.0,6.0,0.0,003
38,Bedford,Early Voting - Write-Ins,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,003
39,Benton,1 Holladay,846,213.0,9.0,3.0,0.0,0.0,2.0,1.0,005
40,Benton,2 Camden Jr High,784,265.0,18.0,5.0,1.0,2.0,1.0,0.0,005
41,Benton,3 Camden City Hall,725,228.0,15.0,2.0,0.0,0.0,2.0,0.0,005
42,Benton,4 Camden Elementary,782,247.0,13.0,0.0,5.0,3.0,4.0,0.0,005
43,Benton,5 Library,760,270.0,15.0,1.0,2.0,4.0,2.0,0.0,005
44,Benton,6 Big Sandy,819,251.0,13.0,3.0,3.0,4.0,1.0,4.0,005
45,Bledsoe,1-1 Dill,150,56.0,5.0,0.0,0.0,1.0,1.0,0.0,007
46,Bledsoe,1-2 Griffith,84,42.0,4.0,1.0,0.0,0.0,1.0,1.0,007
47,Bledsoe,1-3 Mt. Crest,285,56.0,11.0,0.0,2.0,0.0,0.0,2.0,007
48,Bledsoe,2-1 Cold Springs,379,98.0,9.0,0.0,0.0,0.0,0.0,3.0,007
49,Bledsoe,2-2 Luminary,249,32.0,8.0,2.0,0.0,0.0,0.0,0.0,007
50,Bledsoe,3-1 Brayton,332,36.0,5.0,2.0,6.0,0.0,0.0,0.0,007
51,Bledsoe,3-2 Rigsby,461,61.0,11.0,0.0,0.0,0.0,1.0,3.0,007
52,Bledsoe,4-1 Pikeville,414,198.0,9.0,5.0,1.0,1.0,1.0,2.0,007
53,Bledsoe,5-1 Bellview,445,54.0,11.0,2.0,0.0,1.0,2.0,0.0,007
54,Bledsoe,5-2 Nine Mile,212,34.0,6.0,0.0,0.0,0.0,0.0,0.0,007
55,Bledsoe,6-1 Lee Station,112,62.0,7.0,0.0,0.0,0.0,0.0,0.0,007
56,Bledsoe,6-2 Lusk,499,168.0,9.0,6.0,0.0,1.0,1.0,1.0,007
57,Blount,Alcoa,1477,589.0,93.0,20.0,11.0,5.0,7.0,23.0,009
58,Blount,Beech Grove,1005,518.0,79.0,19.0,10.0,2.0,3.0,11.0,009
59,Blount,Big Springs,699,113.0,22.0,4.0,5.0,1.0,1.0,6.0,009
60,Blount,Board of Education,1461,565.0,88.0,13.0,12.0,1.0,0.0,8.0,009
61,Blount,Carpenters,1302,274.0,30.0,6.0,11.0,0.0,5.0,1.0,009
62,Blount,Chilhowee View,984,290.0,30.0,6.0,6.0,4.0,3.0,7.0,009
63,Blount,Eagleton MS Cafeteria,2100,661.0,89.0,14.0,13.0,4.0,7.0,19.0,009
64,Blount,Everett,643,307.0,47.0,13.0,4.0,6.0,2.0,8.0,009
65,Blount,Fairview,1196,329.0,30.0,4.0,5.0,1.0,2.0,9.0,009
66,Blount,Friendsville,855,176.0,27.0,7.0,6.0,0.0,0.0,5.0,009
67,Blount,Happy Valley,59,14.0,3.0,0.0,0.0,0.0,0.0,0.0,009
68,Blount,Heritage,1184,261.0,27.0,3.0,2.0,1.0,2.0,6.0,009
69,Blount,John Sevier,1343,525.0,77.0,15.0,16.0,2.0,4.0,13.0,009
70,Blount,Lanier,1128,222.0,27.0,11.0,12.0,1.0,2.0,7.0,009
71,Blount,Louisville,1087,370.0,60.0,5.0,9.0,3.0,1.0,4.0,009
72,Blount,Martin Luther King,346,507.0,22.0,6.0,3.0,0.0,3.0,2.0,009
73,Blount,Maryville College,574,352.0,46.0,14.0,5.0,1.0,2.0,9.0,009
74,Blount,Maryville HS,1636,764.0,99.0,14.0,13.0,5.0,5.0,20.0,009
75,Blount,Maryville Jr High,1230,637.0,109.0,18.0,4.0,3.0,4.0,20.0,009
76,Blount,Maryville Municipal,1114,480.0,64.0,21.0,10.0,2.0,2.0,8.0,009
