,unique_ID
1962,Anderson-Clinton Middle
1963,Anderson-Lake City MS
1964,Anderson-Oak Ridge
1965,Bedford-1-1 Wartrace
1966,Bedford-1-2 Bell Buckle
1967,Bedford-2-3 Fair Haven
1968,Bedford-3-3 Unionville
1969,Bedford-4-3 Bedford
1970,Bedford-5-2 Flat Creek
1971,Bedford-5-5 Normandy
1972,Bedford-6-1 East Side
1973,Bedford-7-1 Deery Eakin
1974,Bedford-8-1 Thomas
1975,Bedford-9-2 Southside
1976,Benton-1 Holladay
1977,Benton-4 Camden Elementary
1978,Benton-5 Library
1979,Benton-6 Big Sandy
1980,Bledsoe-1-1 Dill
1981,Bledsoe-1-2 Griffith
1982,Bledsoe-1-3 Mt. Crest
1983,Bledsoe-2-1 Cold Springs
1984,Bledsoe-2-2 Luminary
1985,Bledsoe-3-1 Brayton
1986,Bledsoe-3-2 Rigsby
1987,Bledsoe-4-1 Pikeville
1988,Bledsoe-5-1 Bellview
1989,Bledsoe-5-2 Nine Mile
1990,Bledsoe-6-1 Lee Station
1991,Bledsoe-6-2 Lusk
1992,Blount-Alcoa
1993,Blount-Eagleton MS Cafeteria
1994,Blount-Maryville HS
1995,Blount-Maryville Jr High
1996,Blount-Oakview
1997,Blount-William Blount HS
1998,Blount-Wm Blount Academy
1999,Bradley-1-1 McDonald
2000,Bradley-1-2 Prospect
2001,Bradley-1-3 Hopewell
2002,Bradley-2-1 E.L. Ross
2003,Bradley-2-2 Walker Valley
2004,Bradley-3-1 Lee University
2005,Bradley-3-2 Senior Center
2006,Bradley-4-1 Oak Grove
2007,Bradley-4-2 Michigan Ave
2008,Bradley-5-1 Blythe/Bower
2009,Bradley-5-2 Museum
2010,Bradley-6-1 Valley View
2011,Bradley-6-2 Blue Springs
2012,Bradley-6-3 Waterville
2013,Bradley-6-4 Black Fox
2014,Bradley-7-1 Stuart
2015,Bradley-7-2 Cleveland High
2016,Campbell-1-1 Alder Springs
2017,Campbell-1-2 Demory
2018,Campbell-1-3 Pinecrest
2019,Campbell-1-4 Valley View
2020,Campbell-1-5 Well Springs
2021,Campbell-2-1 College Hill
2022,Campbell-2-2 East LaFollette
2023,Campbell-2-3 LaFollette ES
2024,Campbell-3-1 CCHS
2025,Campbell-3-2 Jacksboro Sta
2026,Campbell-3-3 West LaFollette
2027,Campbell-4-1 Caryville
2028,Campbell-4-2 Clinchmore
2029,Campbell-4-3 Jacksboro
2030,Campbell-4-4 Ridgewood
2031,Campbell-5-1 Elk Valley
2032,Campbell-5-2 Habersham
2033,Campbell-5-3 Jellico
2034,Campbell-5-4 Newcomb
2035,Campbell-5-5 White Oak
2036,Cannon-1-1 Westside
