vest_ID,election_ID,
Anderson-Clinton Middle School,Anderson-Clinton Middle,
Anderson-Lake City Middle School,Anderson-Lake City MS,
Anderson-Oak Ridge City Hall,Anderson-Oak Ridge,
Bedford-101 Wartrace Baptist Church,Bedford-1-1 Wartrace,
Bedford-102 Bell Buckle/Webb School,Bedford-1-2 Bell Buckle,
Bedford-203 Fairhaven Baptist Church,Bedford-2-3 Fair Haven,
Bedford-303 Unionville Fire Hall,Bedford-3-3 Unionville,
Bedford-403 Bedford Community Center,Bedford-4-3 Bedford,
Bedford-502 Flat Creek Community Center,Bedford-5-2 Flat Creek,
Bedford-505 Normandy Baptist Church,Bedford-5-5 Normandy,
Bedford-601 East Side School,Bedford-6-1 East Side,
Bedford-701 Deery Eakin School,Bedford-7-1 Deery Eakin,
Bedford-801 Thomas School,Bedford-8-1 Thomas,
Bedford-902 Southside School,Bedford-9-2 Southside,
Benton-1 Holladay School,Benton-1 Holladay,
Benton-4 Camden Elementary School,Benton-4 Camden Elementary,
Benton-5 Camden Public Library,Benton-5 Library,
Benton-6 Big Sandy School,Benton-6 Big Sandy,
Bledsoe-Bellview,Bledsoe-5-1 Bellview,
Bledsoe-Brayton,Bledsoe-3-1 Brayton,
Bledsoe-Cold Springs,Bledsoe-2-1 Cold Springs,
Bledsoe-Dill,Bledsoe-1-1 Dill,
Bledsoe-Griffith,Bledsoe-1-2 Griffith,
Bledsoe-Lee Station,Bledsoe-6-1 Lee Station,
Bledsoe-Luminary,Bledsoe-2-2 Luminary,
Bledsoe-Lusk,Bledsoe-6-2 Lusk,
Bledsoe-Mt. Crest,Bledsoe-1-3 Mt. Crest,
Bledsoe-Nine Mile,Bledsoe-5-2 Nine Mile,
Bledsoe-Pikeville,Bledsoe-4-1 Pikeville,
Bledsoe-Rigsby,Bledsoe-3-2 Rigsby,
Blount-Alcoa High School,Blount-Alcoa,
Blount-Eagleton Cafeteria,Blount-Eagleton MS Cafeteria,
Blount-Maryville High School,Blount-Maryville HS,
Blount-Maryville Junior High,Blount-Maryville Jr High,
Blount-Oak View,Blount-Oakview,
Blount-William Blount Academy,Blount-Wm Blount Academy,
Blount-William Blount High,Blount-William Blount HS,
Bradley-101 McDonald Ruritan,Bradley-1-1 McDonald,
Bradley-102 Prospect School,Bradley-1-2 Prospect,
Bradley-103 Hopewell School,Bradley-1-3 Hopewell,
Bradley-201 E.L. Ross School,Bradley-2-1 E.L. Ross,
Bradley-202 Walker Valley High,Bradley-2-2 Walker Valley,
Bradley-301 Lee University,Bradley-3-1 Lee University,
Bradley-302 Senior Center,Bradley-3-2 Senior Center,
Bradley-401 Oak Grove School,Bradley-4-1 Oak Grove,
Bradley-402 Michigan Ave School,Bradley-4-2 Michigan Ave,
Bradley-501 Blythe/Bower School,Bradley-5-1 Blythe/Bower,
Bradley-502 5 Points Museum,Bradley-5-2 Museum,
Bradley-601 Valley View School,Bradley-6-1 Valley View,
Bradley-602 Blue Springs School,Bradley-6-2 Blue Springs,
Bradley-603 Waterville School,Bradley-6-3 Waterville,
Bradley-604 Black Fox School,Bradley-6-4 Black Fox,
Bradley-701 Stuart School,Bradley-7-1 Stuart,
Bradley-702 Cleveland High,Bradley-7-2 Cleveland High,
Campbell-Alder Springs,Campbell-1-1 Alder Springs,
