,COUNTY,NAME
164,00,South Clinton
1766,00,Pine Valley
1767,00,Emory Valley
1768,00,Hendrix Creek
1769,00,Robertsville
1789,00,Norwood
179,00,Fairview
1765,00,Oak Ridge City Hall
180,00,Norris
182,00,Rocky Top
183,00,Dutch Valley
184,00,Clinton Middle School
185,00,North Clinton
1788,00,Marlow
1771,00,Highland View
181,00,Lake City Middle School
1764,00,West Hills
1770,00,Woodland
1790,00,Briceville
1805,00,Rosedale
171,00,Glenwood
170,00,Glen Alpine
169,00,Andersonville
168,00,Claxton
167,00,Bull Run
166,00,Clinton High
165,00,Clinton
186,01,101 Wartrace Baptist Church
189,01,303 Unionville Fire Hall
190,01,403 Bedford Community Center
191,01,601 East Side School
198,01,102 Bell Buckle/Webb School
188,01,502 Flat Creek Community Center
199,01,203 Fairhaven Baptist Church
197,01,701 Deery Eakin School
187,01,801 Thomas School
200,01,505 Normandy Baptist Church
201,01,902 Southside School
207,02,4 Camden Elementary School
202,02,6 Big Sandy School
203,02,5 Camden Public Library
204,02,1 Holladay School
205,02,3 Camden City Hall
206,02,2 Camden Jr High
208,03,Lee Station
223,03,Cold Springs
211,03,Brayton
212,03,Dill
213,03,Griffith
214,03,Nine Mile
225,03,Rigsby
224,03,Mt. Crest
210,03,Lusk
209,03,Pikeville
215,03,Luminary
216,03,Bellview
246,04,Alcoa High School
1724,04,Pellissippi Campus
1723,04,William Blount High
245,04,Rockford
1713,04,Louisville
8,04,Chilhowee View
7,04,Heritage
6,04,Maryville High School
226,04,Fairview
5,04,Lanier
4,04,Everett
3,04,Martin Luther King
1573,04,Carpenters
1572,04,Middlesettlements
252,04,Friendsville
73,04,Prospect
1722,04,William Blount Academy
71,04,John Sevier
247,04,Board of Education
248,04,Maryville Junior High
250,04,Oak Street
251,04,Maryville Municipal
229,04,Oak View
228,04,Townsend
227,04,Eagleton Cafeteria
72,04,Maryville College
249,04,Mentor
70,04,Porter
69,04,Montvale
68,04,Walland
27,04,Big Springs
110,05,201 E.L. Ross School
1811,05,101 McDonald Ruritan
132,05,502 5 Points Museum
111,05,202 Walker Valley High
131,05,301 Lee University
112,05,302 Senior Center
105,05,501 Blythe/Bower School
106,05,602 Blue Springs School
130,05,402 Michigan Ave School
108,05,103 Hopewell School
109,05,701 Stuart School
1817,05,604 Black Fox School
107,05,102 Prospect School
129,05,702 Cleveland High
74,05,601 Valley View School
75,05,401 Oak Grove School
76,05,603 Waterville School
218,06,Pinecrest
35,06,Jellico
1787,06,Clinchmore
34,06,Newcomb
217,06,Jacksboro Station
32,06,Habersham
145,06,College Hill
146,06,Caryville
33,06,White Oak
148,06,Valley View
219,06,Ridgewood
147,06,West LaFollette
10,06,Jacksboro
28,06,Campbell County High School
29,06,Demory
9,06,East LaFollette
30,06,Alder Springs
31,06,Well Springs
150,06,LaFollette Elementary School
149,06,Elk Valley
36,07,Gassaway
37,07,4 Short Mountain
38,07,Westside
39,07,Eastside
40,07,Woodland
41,07,Auburntown
42,07,Pleasant Ridge
77,07,Woodbury
43,07,2 Short Mountain
45,08,17 Senior Citizens
46,08,12 Bruceton
90,08,2 Trezevant
89,08,20 Westport
88,08,21 Church of Christ
87,08,1 Lavinia
86,08,18 Cannon
85,08,5 Cedar Grove
84,08,9 Huntingdon Police Station
83,08,22 McKenzie City hall
44,08,8 Civic Center
80,08,11 Buena Vista
113,08,7 Macedonia
82,08,16 Atwood
115,08,19 Concord
79,08,6 Clarksburg
78,08,13 Hollow Rock
114,08,14 Vale
81,08,4 McLemoresville
1931,09,Harold McCormick
1932,09,Valley Forge
1933,09,Eastside
1934,09,Hampton
1935,09,Roan Mountain
1945,09,Siam
1946,09,Hunter
1947,09,Keenburg
1948,09,Court House
1936,09,Elk Mills
1937,09,Little Milligan
1959,09,Westside
1929,09,Range
1852,09,Watauga
1924,09,Midway
1958,09,Happy Valley
1930,09,National Guard Armory
1851,09,Central
1926,09,Tiger Valley
1927,09,Gap Creek
1925,09,Unaka
1928,09,High School
53,10,1-1 Cheatham Co Library
