,COUNTY,NAME
164,Anderson,South Clinton
1766,Anderson,Pine Valley
1767,Anderson,Emory Valley
1768,Anderson,Hendrix Creek
1769,Anderson,Robertsville
1789,Anderson,Norwood
179,Anderson,Fairview
1765,Anderson,Oak Ridge City Hall
180,Anderson,Norris
182,Anderson,Rocky Top
183,Anderson,Dutch Valley
184,Anderson,Clinton Middle School
185,Anderson,North Clinton
1788,Anderson,Marlow
1771,Anderson,Highland View
181,Anderson,Lake City Middle School
1764,Anderson,West Hills
1770,Anderson,Woodland
1790,Anderson,Briceville
1805,Anderson,Rosedale
171,Anderson,Glenwood
170,Anderson,Glen Alpine
169,Anderson,Andersonville
168,Anderson,Claxton
167,Anderson,Bull Run
166,Anderson,Clinton High
165,Anderson,Clinton
186,Bedford,101 Wartrace Baptist Church
189,Bedford,303 Unionville Fire Hall
190,Bedford,403 Bedford Community Center
191,Bedford,601 East Side School
198,Bedford,102 Bell Buckle/Webb School
188,Bedford,502 Flat Creek Community Center
199,Bedford,203 Fairhaven Baptist Church
197,Bedford,701 Deery Eakin School
187,Bedford,801 Thomas School
200,Bedford,505 Normandy Baptist Church
201,Bedford,902 Southside School
207,Benton,4 Camden Elementary School
202,Benton,6 Big Sandy School
203,Benton,5 Camden Public Library
204,Benton,1 Holladay School
205,Benton,3 Camden City Hall
206,Benton,2 Camden Jr High
208,Bledsoe,Lee Station
223,Bledsoe,Cold Springs
211,Bledsoe,Brayton
212,Bledsoe,Dill
213,Bledsoe,Griffith
214,Bledsoe,Nine Mile
225,Bledsoe,Rigsby
224,Bledsoe,Mt. Crest
210,Bledsoe,Lusk
209,Bledsoe,Pikeville
215,Bledsoe,Luminary
216,Bledsoe,Bellview
246,Blount,Alcoa High School
1724,Blount,Pellissippi Campus
1723,Blount,William Blount High
245,Blount,Rockford
1713,Blount,Louisville
8,Blount,Chilhowee View
7,Blount,Heritage
6,Blount,Maryville High School
226,Blount,Fairview
5,Blount,Lanier
4,Blount,Everett
3,Blount,Martin Luther King
1573,Blount,Carpenters
1572,Blount,Middlesettlements
252,Blount,Friendsville
73,Blount,Prospect
1722,Blount,William Blount Academy
71,Blount,John Sevier
247,Blount,Board of Education
248,Blount,Maryville Junior High
250,Blount,Oak Street
251,Blount,Maryville Municipal
229,Blount,Oak View
228,Blount,Townsend
227,Blount,Eagleton Cafeteria
72,Blount,Maryville College
249,Blount,Mentor
70,Blount,Porter
69,Blount,Montvale
68,Blount,Walland
27,Blount,Big Springs
110,Bradley,201 E.L. Ross School
1811,Bradley,101 McDonald Ruritan
132,Bradley,502 5 Points Museum
111,Bradley,202 Walker Valley High
131,Bradley,301 Lee University
112,Bradley,302 Senior Center
105,Bradley,501 Blythe/Bower School
106,Bradley,602 Blue Springs School
130,Bradley,402 Michigan Ave School
108,Bradley,103 Hopewell School
109,Bradley,701 Stuart School
1817,Bradley,604 Black Fox School
107,Bradley,102 Prospect School
129,Bradley,702 Cleveland High
74,Bradley,601 Valley View School
75,Bradley,401 Oak Grove School
76,Bradley,603 Waterville School
218,Campbell,Pinecrest
35,Campbell,Jellico
1787,Campbell,Clinchmore
34,Campbell,Newcomb
217,Campbell,Jacksboro Station
32,Campbell,Habersham
145,Campbell,College Hill
146,Campbell,Caryville
33,Campbell,White Oak
148,Campbell,Valley View
219,Campbell,Ridgewood
147,Campbell,West LaFollette
10,Campbell,Jacksboro
28,Campbell,Campbell County High School
29,Campbell,Demory
9,Campbell,East LaFollette
30,Campbell,Alder Springs
31,Campbell,Well Springs
150,Campbell,LaFollette Elementary School
149,Campbell,Elk Valley
36,Cannon,Gassaway
37,Cannon,4 Short Mountain
38,Cannon,Westside
39,Cannon,Eastside
40,Cannon,Woodland
41,Cannon,Auburntown
42,Cannon,Pleasant Ridge
77,Cannon,Woodbury
43,Cannon,2 Short Mountain
45,Carroll,17 Senior Citizens
46,Carroll,12 Bruceton
90,Carroll,2 Trezevant
89,Carroll,20 Westport
