,unique_ID
6,Anderson-Clinton Middle School
14,Anderson-Lake City Middle School
19,Anderson-Oak Ridge City Hall
27,Bedford-101 Wartrace Baptist Church
28,Bedford-102 Bell Buckle/Webb School
29,Bedford-203 Fairhaven Baptist Church
30,Bedford-303 Unionville Fire Hall
31,Bedford-403 Bedford Community Center
32,Bedford-502 Flat Creek Community Center
33,Bedford-505 Normandy Baptist Church
34,Bedford-601 East Side School
35,Bedford-701 Deery Eakin School
36,Bedford-801 Thomas School
37,Bedford-902 Southside School
38,Benton-1 Holladay School
41,Benton-4 Camden Elementary School
42,Benton-5 Camden Public Library
43,Benton-6 Big Sandy School
44,Bledsoe-Bellview
45,Bledsoe-Brayton
46,Bledsoe-Cold Springs
47,Bledsoe-Dill
48,Bledsoe-Griffith
49,Bledsoe-Lee Station
50,Bledsoe-Luminary
51,Bledsoe-Lusk
52,Bledsoe-Mt. Crest
53,Bledsoe-Nine Mile
54,Bledsoe-Pikeville
55,Bledsoe-Rigsby
56,Blount-Alcoa High School
61,Blount-Eagleton Cafeteria
71,Blount-Maryville High School
72,Blount-Maryville Junior High
78,Blount-Oak View
85,Blount-William Blount Academy
86,Blount-William Blount High
87,Bradley-101 McDonald Ruritan
88,Bradley-102 Prospect School
89,Bradley-103 Hopewell School
90,Bradley-201 E.L. Ross School
91,Bradley-202 Walker Valley High
92,Bradley-301 Lee University
93,Bradley-302 Senior Center
94,Bradley-401 Oak Grove School
95,Bradley-402 Michigan Ave School
96,Bradley-501 Blythe/Bower School
97,Bradley-502 5 Points Museum
98,Bradley-601 Valley View School
99,Bradley-602 Blue Springs School
100,Bradley-603 Waterville School
101,Bradley-604 Black Fox School
102,Bradley-701 Stuart School
103,Bradley-702 Cleveland High
104,Campbell-Alder Springs
105,Campbell-Campbell County High School
106,Campbell-Caryville
107,Campbell-Clinchmore
108,Campbell-College Hill
109,Campbell-Demory
110,Campbell-East LaFollette
111,Campbell-Elk Valley
112,Campbell-Habersham
113,Campbell-Jacksboro
114,Campbell-Jacksboro Station
115,Campbell-Jellico
116,Campbell-LaFollette Elementary School
117,Campbell-Newcomb
118,Campbell-Pinecrest
119,Campbell-Ridgewood
120,Campbell-Valley View
121,Campbell-Well Springs
122,Campbell-West LaFollette
123,Campbell-White Oak
124,Cannon-2 Short Mountain
125,Cannon-4 Short Mountain
126,Cannon-Auburntown
127,Cannon-Eastside
128,Cannon-Gassaway
129,Cannon-Pleasant Ridge
130,Cannon-Westside
131,Cannon-Woodbury
132,Cannon-Woodland
133,Carroll-1 Lavinia
134,Carroll-11 Buena Vista
135,Carroll-12 Bruceton
136,Carroll-13 Hollow Rock
137,Carroll-14 Vale
138,Carroll-16 Atwood
139,Carroll-17 Senior Citizens
140,Carroll-18 Cannon
141,Carroll-19 Concord
142,Carroll-2 Trezevant
143,Carroll-20 Westport
144,Carroll-21 Church of Christ
145,Carroll-22 McKenzie City hall
146,Carroll-4 McLemoresville
147,Carroll-5 Cedar Grove
148,Carroll-6 Clarksburg
149,Carroll-7 Macedonia
150,Carroll-8 Civic Center
151,Carroll-9 Huntingdon Police Station
153,Carter-Court House
165,Carter-National Guard Armory
174,Cheatham-1-1 Cheatham Co Library
175,Cheatham-2-1 East Cheatham Elementary
176,Cheatham-3-1 Pleasant View City Hall
177,Cheatham-4-1 West Cheatham Elementary
178,Cheatham-4-3 Sycamore Middle School
179,Cheatham-5-1 Greenbrier Church of Christ
180,Cheatham-5-2 Pegram City Hall
181,Cheatham-6-1 Harpeth High School
183,Chester-1-5 Sweet Lips
190,Chester-4-1 West Chester School
191,Chester-5-1 East Chester School
207,Claiborne-8-2 Vanbebber Springs
209,Clay-1 Dentons Cross Roads
214,Clay-5-1 Arcot/Beech Bethany
220,Cocke-Cocke County High School
229,Cocke-Newport Grammar School
235,Coffee-01 Ada Right Center
236,Coffee-02 Saint Paul United Methodist Church
237,Coffee-03 Trinity Baptist Church
238,Coffee-04 First Baptist Church
239,Coffee-05 Hillsboro Community Center
240,Coffee-06 Tennessee Vocational Center
241,Coffee-07 Forrest Mill Church of Christ Activity Center
242,Coffee-08 New Union Fire Hall
243,Coffee-10 Mt. Ararat Baptist Church
244,Coffee-11 Freedonia Community Center
245,Coffee-12 North Coffee Elementary School
246,Coffee-13-1 Blanton's Chapel Community Center
247,Coffee-13-2 Grace Baptist Center
248,Coffee-13-4 Grace Baptist Center
249,Coffee-14 Hickerson Fire Hall
250,Coffee-15 Grace Baptist Church
251,Coffee-16 Lions Club
253,Coffee-18 First Christian Church
255,Coffee-20 Coffee County Senior Citizens
256,Coffee-21 Wilson Avenue Church of Christ
