G16PRERTru_x,G16PREDCli_x,G16PREIDeL_x,G16PRELJoh_x,join_col
0,0,0,0,12-51858
0,0,0,0,Summit 13374
0,2,0,0,16-51877
2,1,0,0,19-61895
3,29,0,6,Courthouse 23317
4,1,0,0,Apison 33375
5,1,0,0,Concord 53330
6,28,0,1,14-41866
6,40,0,0,Eastside 23332
9,40,0,5,Alton Park 23368
10,4,0,0,Ooltewah 33358
11,69,0,0,20-11896
12,116,0,8,18-11885
12,530,0,3,Memphis 128104
12,756,3,4,Memphis 50-18145
13,738,2,2,5-1 Whitehall Elementary School5653
14,1,0,0,Harrison 63428
14,8,0,4,Mountain Creek 23392
15,1043,4,9,Memphis 618171
15,1288,2,5,21-11899
18,1,0,1,Collegedale 63400
18,128,1,3,Amnicola3372
18,1239,3,5,Memphis 60-98170
19,963,2,4,Memphis 138105
20,23,0,0,Kingspoint 33303
20,53,0,6,Summit 43382
21,99,0,2,15-51872
22,979,1,2,Memphis 34-28120
22,1352,0,7,Memphis 76-58205
23,19,0,3,23-51911
23,56,0,2,18-51889
23,1308,1,11,Memphis 75-18200
24,1328,7,2,Memphis 50-28121
25,587,0,4,Memphis 84-28228
25,1824,2,9,Memphis 498144
27,19,0,3,Ooltewah 63424
28,2098,5,9,Memphis 75-78203
29,47,0,3,Woodmore 23320
30,1332,4,7,Memphis 60-38164
31,10,0,0,Clinchmore0614
31,463,1,4,144873
31,1592,6,12,Memphis 76-48204
31,1816,2,8,Memphis 47-18142
32,803,1,5,Avondale3394
32,1558,7,11,Memphis 41-38130
33,4,0,1,Collegedale 53345
33,6,0,0,Catons Chapel 27972
33,8,0,0,1 Allandale Outside3807
33,19,0,1,Soddy Daisy 43412
34,14,1,3,Orme5759
34,34,0,2,St Elmo 23367
34,1086,1,14,Bushtown3373
34,1193,4,11,1-51805
35,1347,3,8,Memphis 79-78214
35,1610,4,6,Memphis 42-18131
35,2587,6,9,Memphis 75-68202
37,912,2,12,Memphis 52-18146
37,1937,5,9,2-11806
38,763,1,6,Memphis 92-18243
39,483,0,4,19-51894
40,640,1,10,5-41824
40,863,6,3,5-2 Macedonia Baptist Church5654
41,11,0,2,2 Church Hill Outside3810
41,22,0,2,Hubbard's Cove3159
41,1407,1,2,Memphis 268113
43,1033,1,4,Memphis 60-68167
44,1490,1,10,Memphis 218111
45,150,0,17,17-3 Wesley Foundation7688
45,365,0,2,2-31808
45,790,1,8,Memphis 60-58166
46,17,0,6,10-W4893
46,408,1,8,East Chattanooga 13300
48,2437,3,6,Memphis 75-118201
49,6,0,2,Jones Cove 27971
50,57,0,4,Mountain Creek 33406
51,9,0,1,Houston Valley1418
51,2157,3,12,Memphis 76-68206
