,join_col,VTD
0,8,1611
1,6,1612
2,Mayland,1714
3,Rinnie,1720
4,Woody,1724
5,Oak Hill,1716
6,Oak Hill,7052
7,Crab Orchard Town Hall,1706
8,Fairfield Glade North,1708
12,William Blount Academy,0419
13,Maryville High School,0420
18,East LaFollette,0608
19,Jacksboro,0609
25,5-1 Greenbrier Church of Christ,1005
26,Fairfield Glade South,1709
27,Chestnut Hill,1703
28,Ozone-Pineview,1717
29,Grassy Cove,1710
30,Linary,1713
31,Big Lick,1702
32,Vandever,1723
33,Tansi,1722
34,Homestead,1711
35,Dorton,1707
36,Complex 2,1704
37,Cornerstone Baptist Church,1705
38,Lantana,1712
45,Pleasant Hill,1718
46,Pomona,1719
47,Bakers,1701
48,Tabor,1721
51,William Blount High,0417
52,Campbell County High School,0610
53,Demory,0615
54,Alder Springs,0616
55,Well Springs,0617
56,Habersham,0618
57,White Oak,0619
58,Newcomb,0620
59,Jellico,0621
60,Gassaway,0702
61,4 Short Mountain,0709
68,Auburntown,0706
69,Pleasant Ridge,0707
70,2 Short Mountain,0708
71,8 Civic Center,0805
72,17 Senior Citizens,0808
73,12 Bruceton,0803
74,4-3 Sycamore Middle School,1008
75,3-1 Pleasant View City Hall,1003
76,2-1 East Cheatham Elementary,1001
77,4-1 West Cheatham Elementary,1002
78,6-1 Harpeth High School,1006
79,5-2 Pegram City Hall,1007
80,1-1 Cheatham Co Library,1004
81,5-1 East Chester School,1105
85,4-1 West Chester School,1102
125,601 Valley View School,0511
126,401 Oak Grove School,0512
127,603 Waterville School,0513
128,Woodbury,0705
129,13 Hollow Rock,0815
130,6 Clarksburg,0812
131,11 Buena Vista,0819
132,4 McLemoresville,0810
133,16 Atwood,0817
134,22 McKenzie City hall,0818
135,9 Huntingdon Police Station,0807
136,5 Cedar Grove,0804
137,18 Cannon,0814
138,1 Lavinia,0816
139,21 Bethel,0809
140,20 Westport,0813
141,2 Trezevant,0801
150,8-2 Vanbebber Springs,1208
213,501 Blythe/Bower School,0514
214,602 Blue Springs School,0515
215,102 Prospect School,0516
216,103 Hopewell School,0517
217,101 McDonald Ruritan,0501
218,701 Stuart School,0502
219,604 Black Fox School,0503
220,201 E.L. Ross School,0504
221,202 Walker Valley High,0505
222,302 Senior Center,0506
223,7 Macedonia,0802
224,14 Vale,0811
225,19 Concord,0806
246,5-1 Arcot/Beech Bethany,1302
247,1 Dentons Cross Roads,1303
259,702 Cleveland High,0507
260,402 Michigan Ave School,0508
261,301 Lee University,0509
262,502 5 Points Museum,0510
263,National Guard Armory,0922
264,National Guard Armory,5557
294,Cocke County High School,1402
298,Newport Grammar School,1406
320,College Hill,0601
321,College Hill,5963
322,Caryville,0602
323,West LaFollette,0603
324,Valley View,0604
325,Elk Valley,0605
326,LaFollette Elementary School,0607
335,Court House,0906
336,Court House,3065
386,Oak Ridge City Hall,0021
397,16 Lions Club,1516
398,05 Hillsboro Community Center,1505
399,06 Tennessee Vocational Center,1506
403,07 Forrest Mill Church of Christ Activity Center,1507
414,Lake City Middle School,0016
415,15 Grace Baptist Church,1515
416,18 First Christian Church,1518
417,Lake City,0015
423,Clinton Middle School,0007
425,101 Wartrace Baptist Church,0101
426,801 Thomas School,0110
427,502 Flat Creek Community Center,0106
428,303 Uniounville Fire Hall,0104
429,403 Bedford Community Center,0105
430,601 East Side School,0108
432,08 New Union Fire Hall,1508
433,9-1 Pocahontas Community Center,1522
434,9-2 Summitville Community Center,1523
435,13-2 Grace Baptist Center,1513
437,701 Deery Eakin School,0109
438,102 Bell Buckle/Webb School,0102
439,203 Fairhaven Baptist Church,0103
440,505 Normandy Baptist Church,0107
441,902 Southside School,0111
442,6 Big Sandy School,0206
443,5 Benton Co. Courthouse,0205
444,1 Holladay School,0204
445,3 Benton Co. Courthouse,0203
446,2 Camden High School,0201
447,4 Camden Elementary School,0202
448,Lee Station,0306
449,Pikeville,0311
450,Lusk,0308
451,Brayton,0302
452,Dill,0304
453,Griffith,0305
454,Nine Mile,0310
455,Luminary,0307
456,Bellview,0301
457,Jacksboro Station,0611
458,Pinecrest,0612
459,Ridgewood,0613
460,Clinchmore,0614
461,02 Saint Paul United Methodist Church,1502
462,20 Coffee County Senior Citizens,1520
463,21 Wilson Avenue Church of Christ,1521
464,Cold Springs,0303
465,Mt.Crest,0309
466,Rigsby,0312
469,Eagleton Cafeteria,0431
471,Oak View,0402
472,04 First Baptist Church,1504
473,03 Trinity Baptist Church,1503
474,01 Ada Right Center,1501
475,10 Mt. Ararat Baptist Church,1509
476,11 Freedonia Community Center,1510
477,12 North Coffee Elementary School,1511
478,13-1 Blanton's Chapel Community Center,1512
479,14 Hickerson Fire Hall,1514
480,4,1601
481,1,1602
482,2,1603
495,5,1608
496,3,1609
497,3,6453
500,Alcoa High School,0408
501,Blount County Board of Education,0403
502,Maryville Junior High,0404
508,9,1604
509,9,6452
514,7,1610
515,7,6455
524,1-1 FC Annex,2651
530,7-2 Winchester Springs & Center Grove,2666
543,06 Humboldt Ch of Chr,2754
544,02 Sitka Community Center,2752
545,22 Agri Plex,2763
546,28 Cumberland Presbyterian Church,2767
547,26 Union Central,2765
548,37 Good Luck,2776
549,32 Bradford,2774
552,30 Milan Assembly/God,2769
553,29 Milan Polk Clark,2768
556,5-5,1825
557,31 Milan Muni Bldg,2770
558,09 Humboldt Lane Chapel,2757
559,27 Skullbone,2766
560,34 Laneview,2775
561,14 Brazil,2761
562,12 Edison,2760
563,20 CourtHouse,2762
610,38 Dyer,2777
611,39 Currie,2778
612,17 Yorkville,2771
613,40 Rutherford,2773
614,13 Fruitland,2759
615,08 St. James Baptist Church,2756
616,07 Humboldt Park,2755
620,04 Gibson,2753
621,24 Moore's Chapel,2764
622,01 Medina,2751
623,18 Kenton,2772
624,10 Humboldt High School,2758
629,3A Richland Trace Market,2855
667,6-4,1829
670,4B Odds Fellows Hall,2858
672,5B Agri-Park,2860
673,6A MMC Martin Methodist College,2861
674,6B BMS Bridgeforth Middle School,2862
675,7A GCHS Giles County High School,2863
676,3-4,1814
677,3-5,1815
678,3-6,1816
679,6-5,1830
711,7-4,1834
712,7B Recreation Center,2864
713,3-1 Blaine City Hall,2955
714,2-2 Grainger High School,2958
715,1-1 Rutledge Middle School,2953
716,4-2 Washburn Ele. School,2951
717,1-2 Old Central Point School,2952
718,5-1 Bean Station Library,2960
719,4-1 Thorn Hill Comm. Blg.,2956
720,2-1 Bean Station Ele. School,2957
721,3-2 Indian Ridge Comm. Blg.,2954
722,5-2 Senior Citizens Center,2959
723,South Greene,3077
724,Baileyton,3067
725,Chuckey Doak,3072
726,Chuckey,3073
727,Mosheim,3082
728,Ottway,3080
729,Nolachuckey,3053
733,7-5,1835
734,7-6,1836
759,Scotts Hill,2051
760,4th Decaturville,2052
761,3rd Decaturville,2053
762,Dunbar,2054
763,5th Parsons,2055
764,6th Parsons,2056
766,8th Parsons,2058
768,Liberty,2060
769,Liberty,5358
